part_number,description,compatible_skus,category,material,weight_kg,replacement_procedure,related_parts,stock_status,unit_cost_usd
P-9913-BASE,"Chair base assembly, aluminum, 5-star, 60mm caster sockets",['CHAIR-ERG-X99'],Furniture/Seating,Die-cast aluminum,2.4,"Remove 5 bolts B-3301-BLT, swap base, torque to 15 Nm","['B-3301-BLT', 'C-5500-CAST', 'S-4012-SCRW']",in_stock,45.0
P-9912-ARM,"Armrest bracket assembly, left/right specific, includes pivot",['CHAIR-ERG-X99'],Furniture/Seating,Reinforced nylon + steel pivot,0.35,"Remove armrest cap, unbolt 2x B-3301-BLT, swap bracket","['B-3301-BLT', 'PT-1101-PVT']",in_stock,28.0
S-4012-SCRW,"M6x20 socket head cap screw, grade 12.9, zinc plated","['CHAIR-ERG-X99', 'DESK-STD-MOTO']",Fasteners,Alloy steel,0.008,Torque to 12.5 Nm with 5mm hex key,['P-9913-BASE'],in_stock,0.35
C-7721-GL,"Gas lift cylinder, 120mm stroke, 28mm diameter, 1000N force",['CHAIR-ERG-X99'],Furniture/Seating,"Steel cylinder, nitrogen charge",0.85,"Remove base, pull cylinder, insert new, reassemble base","['P-9913-BASE', 'B-3301-BLT']",in_stock,32.0
B-3301-BLT,"M8x25 flange bolt, grade 10.9, black oxide","['CHAIR-ERG-X99', 'DESK-STD-MOTO', 'MON-ARM-DUAL']",Fasteners,Alloy steel,0.015,Torque to 15 Nm (chair/desk) or 8 Nm (monitor arm),"['P-9913-BASE', 'SP-4402-SPND', 'BP-6601-BP']",in_stock,0.45
C-5500-CAST,"60mm nylon caster, stem mount, 50kg load rating",['CHAIR-ERG-X99'],Furniture/Seating,"Nylon wheel, steel stem",0.08,"Pull old caster, press new until click",['P-9913-BASE'],in_stock,4.5
M-8841-MOT,"Dual motor kit, 24V DC, 6000N per motor, hall sensor integrated",['DESK-STD-MOTO'],Furniture/Desks,"Steel housing, copper windings",1.8,"Disconnect cables, unbolt 4x B-3301-BLT, swap motors","['CB-2201-CTL', 'SP-4402-SPND', 'B-3301-BLT']",in_stock,85.0
CB-2201-CTL,"Control box with Bluetooth, dual motor driver, anti-collision",['DESK-STD-MOTO'],Electronics,PCB in ABS enclosure,0.3,"Unplug all cables, unmount, swap box, re-pair app","['M-8841-MOT', 'SN-1101-HGT', 'DG-1101-DGL']",in_stock,65.0
SP-4402-SPND,"Lifting spindle, 600mm travel, Tr10x3 trapezoidal thread",['DESK-STD-MOTO'],Furniture/Desks,Hardened steel,0.65,"Extend desk, uncouple motor, unscrew spindle, reverse","['M-8841-MOT', 'GR-9901-GRS']",in_stock,38.0
SN-1101-HGT,"Hall effect height sensor, 0-650mm range, 0.1mm resolution",['DESK-STD-MOTO'],Electronics,PCB assembly,0.02,"Unclip from spindle, disconnect 3-pin, clip new",['CB-2201-CTL'],in_stock,12.0
GR-9901-GRS,"PTFE spindle grease, 50g syringe, food grade",['DESK-STD-MOTO'],Maintenance,PTFE thickened synthetic oil,0.05,Apply thin coat to spindle threads every 6 months,['SP-4402-SPND'],in_stock,8.0
GS-9901-GSP,"Gas spring, 2-9kg force range, 200mm stroke, M6 ends",['MON-ARM-DUAL'],Furniture/Mounts,"Steel cylinder, nitrogen",0.18,"Support monitor, remove pivot bolts PT-1101-PVT, swap spring","['PT-1101-PVT', 'KN-2201-KNB']",in_stock,22.0
PT-1101-PVT,"Pivot bolt, M6x12, shouldered, with nylon patch",['MON-ARM-DUAL'],Fasteners,Alloy steel,0.006,"Torque to 5 Nm, apply blue thread locker","['GS-9901-GSP', 'MB-4401-MB']",in_stock,0.6
SW-2201-SWT,"Cherry MX Brown tactile switch, PCB mount, 55g actuation",['KB-ERGO-SPLIT'],Peripherals/Keyboards,"Polycarbonate housing, gold contacts",0.004,"Desolder old, solder new, test with firmware","['PC-6601-PCB-L', 'PC-6601-PCB-R']",in_stock,0.85
WM-4401-WLS,"Wireless module, nRF52840, Bluetooth 5.0 + 2.4GHz proprietary",['KB-ERGO-SPLIT'],Electronics,PCB module,0.01,"Desolder 4 pads, solder new, re-pair halves","['PC-6601-PCB-L', 'PC-6601-PCB-R', 'BT-7701-BAT']",limited,18.0
SN-8801-SNS,"PixArt PAW3395 optical sensor, 26000 DPI, 650 IPS",['MOUSE-VERT-PRO'],Peripherals/Mice,IC package,0.002,"Requires hot air rework, replace PCB PC-6601-PCB if damaged","['SW-3301-SWT', 'DG-1101-DGL']",in_stock,15.0
DR-2201-DRV,"40mm dynamic driver, 32 ohm, 105dB SPL, neodymium magnet",['HEADSET-WL-PRO'],Peripherals/Audio,"Mylar diaphragm, neodymium",0.015,"Remove earpad EP-5501-EPD, unscrew driver, solder leads","['EP-5501-EPD', 'MC-4401-MIC']",in_stock,12.0
