ticket_id,sku,part_numbers,product_name,category,issue_type,customer_description,agent_resolution,resolution_steps,parts_used,status,created_date,resolved_date,agent_id
TKT-2026-001234,CHAIR-ERG-X99,P-9913-BASE; S-4012-SCRW,ErgoFlex Pro Office Chair,Furniture/Seating,squeaking_noise,Chair makes loud squeaking sound when I lean back. Started about 2 weeks ago. Very annoying during meetings.,Identified loose screw set S-4012-SCRW under base P-9913-BASE. Instructed customer to tighten 4 screws to 12.5 Nm torque using 5mm hex key. Issue resolved.,Turn chair upside down on protective surface | Locate screw set S-4012-SCRW (4 screws) securing base P-9913-BASE | Tighten all 4 screws to 12.5 Nm torque using 5mm hex key | Test recline motion for noise,S-4012-SCRW,resolved,2026-03-10,2026-03-10,AGT-7742
TKT-2026-001256,CHAIR-ERG-X99,C-7721-GL; B-3301-BLT,ErgoFlex Pro Office Chair,Furniture/Seating,height_adjustment_failure,Chair slowly sinks down throughout the day. Have to pump it up every hour. Gas lift seems broken.,"Diagnosed gas lift cylinder C-7721-GL internal seal failure. Shipped replacement cylinder C-7721-GL. Customer replaced following guide: remove base bolts B-3301-BLT, swap cylinder, reassemble.","Remove base P-9913-BASE by unscrewing 5 bolts B-3301-BLT | Extract gas lift cylinder C-7721-GL from column | Replace with new cylinder C-7721-GL | Reassemble in reverse order, torque bolts B-3301-BLT to 15 Nm",C-7721-GL,resolved,2026-03-12,2026-03-15,AGT-7742
TKT-2026-001289,DESK-STD-MOTO,CB-2201-CTL; M-8841-MOT,Motorized Standing Desk Standard,Furniture/Desks,control_box_fault,Desk shows error E02 on control panel. Won't move up or down. Tried unplugging for a minute but error comes back.,Error E02 indicates control box CB-2201-CTL fault. Shipped replacement control box. Customer swapped unit and re-paired Bluetooth app.,Unplug all cables from control box CB-2201-CTL | Unmount control box from desk frame | Install replacement control box CB-2201-CTL | Reconnect all motor and sensor cables | Re-pair with mobile app via Bluetooth,CB-2201-CTL,resolved,2026-03-08,2026-03-12,AGT-8891
TKT-2026-001301,DESK-STD-MOTO,SP-4402-SPND; GR-9901-GRS,Motorized Standing Desk Standard,Furniture/Desks,uneven_lifting,Left side of desk lags behind right side. Desk gets crooked when raising. Makes grinding noise on left side.,"Left spindle SP-4402-SPND binding. Instructed customer to lubricate with PTFE grease GR-9901-GRS and run calibration. If persistent, replace spindle.",Lower desk fully | Apply PTFE grease GR-9901-GRS to left spindle SP-4402-SPND threads | Run calibration: hold DOWN button 10 seconds until CAL appears | Test full up/down cycle for even movement,GR-9901-GRS,resolved,2026-03-05,2026-03-05,AGT-8891
TKT-2026-001322,MON-ARM-DUAL,GS-9901-GSP; PT-1101-PVT,Dual Monitor Arm Heavy Duty,Furniture/Mounts,monitor_sag,Right monitor slowly tilts downward over the course of the day. Have to readjust every morning. Monitor weighs about 7kg.,Gas spring GS-9901-GSP losing pressure on right arm. 7kg is within 2-9kg range but spring may be defective. Shipped replacement GS-9901-GSP. Customer replaced pivot bolts PT-1101-PVT at same time.,"Support monitor weight while working | Remove pivot bolts PT-1101-PVT (M6) on right arm | Swap gas spring GS-9901-GSP | Reinstall pivot bolts PT-1101-PVT with blue thread locker, torque 5 Nm | Adjust tension knob KN-2201-KNB for monitor weight",GS-9901-GSP; PT-1101-PVT,resolved,2026-02-28,2026-03-03,AGT-5523
TKT-2026-001345,KB-ERGO-SPLIT,SW-2201-SWT; CB-3301-CBL,ErgoSplit Mechanical Keyboard,Peripherals/Keyboards,key_chatter,E key on left half registering double presses. Makes typing very difficult. Tried cleaning with air but no change.,"Switch SW-2201-SWT (Cherry MX Brown) on E key showing chatter. Firmware v2.3+ has improved debounce. Advised firmware update first, then switch replacement if needed.","Update firmware to v2.4.1 via USB | Test E key for chatter | If persistent: remove keycap with KP-1101-PUL | Desolder switch SW-2201-SWT, solder replacement | Test with firmware debounce enabled",SW-2201-SWT,resolved,2026-03-01,2026-03-02,AGT-9904
TKT-2026-001367,KB-ERGO-SPLIT,WM-4401-WLS; BT-7701-BAT,ErgoSplit Mechanical Keyboard,Peripherals/Keyboards,half_disconnect,Right half of keyboard randomly disconnects. LED flashes red. Have to unplug/replug TRRS cable to reconnect. Happens 3-4 times per day.,Wireless module WM-4401-WLS on right half showing intermittent connectivity. Battery BT-7701-BAT also tested low. Replaced both wireless module and battery on right half.,"Test with wired TRRS cable CB-3301-CBL to isolate wireless | Right half fails wireless, works wired | Desolder wireless module WM-4401-WLS (4 pads) | Replace battery BT-7701-BAT | Solder new WM-4401-WLS, re-pair halves",WM-4401-WLS; BT-7701-BAT,resolved,2026-02-25,2026-03-01,AGT-9904
TKT-2026-001389,MOUSE-VERT-PRO,SN-8801-SNS; DG-1101-DGL,Vertical Ergonomic Mouse Pro,Peripherals/Mice,cursor_jitter,"Cursor jumps around randomly, especially on my glass desk. Works fine on mousepad but I prefer using directly on desk.",Sensor SN-8801-SNS (PAW3395) has issues on reflective surfaces. Recommended mouse pad MP-9901-MPD. Also updated firmware for better surface adaptation.,Clean sensor lens with microfiber cloth | Use on cloth mouse pad MP-9901-MPD (not glass/reflective) | Update firmware to v1.3+ for improved surface tracking | Lower DPI to 1600 for better stability,,resolved,2026-03-03,2026-03-03,AGT-1122
TKT-2026-001402,MOUSE-VERT-PRO,SW-3301-SWT; CH-5501-CHG,Vertical Ergonomic Mouse Pro,Peripherals/Mice,double_click,Left mouse button registering double clicks when I only click once. Very frustrating for drag operations and gaming.,"Omron switch SW-3301-SWT contact bounce. Firmware v1.2+ has software debounce. Advised firmware update first. If hardware fault, RMA for switch replacement.","Update firmware to v1.4 via manufacturer software | Test left button for double-click | If persistent: initiate RMA for switch SW-3301-SWT replacement | Note: requires soldering, not user-serviceable",,escalated,2026-03-07,,AGT-1122
TKT-2026-001421,HEADSET-WL-PRO,MC-4401-MIC; DG-2201-DGL,Wireless Pro Headset,Peripherals/Audio,mic_not_working,Teammates can't hear me on Discord. Mic shows as connected but no input. Mute light is off (white).,Mic boom MB-3301-BM not fully seated - needs firm click. Also verified mic capsule MC-4401-MIC functional. Dongle DG-2201-DGL re-paired.,"Remove and firmly re-insert mic boom MB-3301-BM until click | Verify mute switch shows white (not red) | In Discord/OS: select HEADSET-WL-PRO as input, set volume 80% | Re-pair dongle DG-2201-DGL: hold power 5 seconds",,resolved,2026-03-09,2026-03-09,AGT-3344
