query_idx,query,query_type,relevant_skus,retrieved_skus,hit_at_5,reciprocal_rank,recall@5,ndcg@5,latency_ms
1,What is the torque spec for screw S-4012-SCRW?,exact_sku,CHAIR-ERG-X99;DESK-STD-MOTO,CHAIR-ERG-X99;MON-ARM-DUAL;DESK-STD-MOTO,1,1.0,1.0,0.9197207891481876,2402.495300048031
2,Which part number is the gas lift cylinder for CHAIR-ERG-X99?,exact_sku,CHAIR-ERG-X99,CHAIR-ERG-X99,1,1.0,1.0,1.0,16.945399984251708
3,What does error E02 mean on DESK-STD-MOTO?,exact_sku,DESK-STD-MOTO,DESK-STD-MOTO,1,1.0,1.0,1.0,17.186200013384223
4,Part number for monitor arm gas spring GS-9901-GSP?,exact_sku,MON-ARM-DUAL,MON-ARM-DUAL,1,1.0,1.0,1.0,1299.4641000404954
5,Keyboard switch SW-2201-SWT actuation force?,exact_sku,KB-ERGO-SPLIT,KB-ERGO-SPLIT;MOUSE-VERT-PRO,1,1.0,1.0,1.0,650.686000008136
6,Mouse sensor SN-8801-SNS max DPI?,exact_sku,MOUSE-VERT-PRO,MOUSE-VERT-PRO,1,1.0,1.0,1.0,531.4533999771811
7,Headset driver DR-2201-DRV impedance?,exact_sku,HEADSET-WL-PRO,HEADSET-WL-PRO,1,1.0,1.0,1.0,1564.6969999652356
8,Bolt B-3301-BLT torque for chair base?,exact_sku,CHAIR-ERG-X99;DESK-STD-MOTO;MON-ARM-DUAL,CHAIR-ERG-X99;MON-ARM-DUAL,1,1.0,0.6666666666666666,0.7653606369886217,1084.8332000314258
9,What is the part number for the chair base assembly?,exact_sku,CHAIR-ERG-X99,CHAIR-ERG-X99,1,1.0,1.0,1.0,1137.7913000178523
10,Which control box does DESK-STD-MOTO use?,exact_sku,DESK-STD-MOTO,DESK-STD-MOTO,1,1.0,1.0,1.0,12.842299998737872
11,What is the replacement part number for caster C-5500-CAST?,exact_sku,CHAIR-ERG-X99,CHAIR-ERG-X99;DESK-STD-MOTO;MON-ARM-DUAL;KB-ERGO-SPLIT,1,1.0,1.0,1.0,1171.979199978523
12,Motor M-8841-MOT voltage and force rating,exact_sku,DESK-STD-MOTO,DESK-STD-MOTO;CHAIR-ERG-X99,1,1.0,1.0,1.0,1238.1776999682188
